brand;product_notes;ref_article;gtin;product_name;updated_at;quantity;product_description;product_image
IDTOLIGHT;BIARRITZ;IDTL495000BZC;5404023004116;Module LED pour BIARRITZ/ANTIBES 3000K Alu/Plasti 1,5W IP20;01.02.26;1;Balisages intérieur;
IDTOLIGHT;METTET MINI;IDTL495120NSC;5404023006592;METTET MINI Spot Encastré 2700K Noir Ressorts 500mA 8,9W IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL495121NSC;5404023006608;METTET MINI Spot Encastré 3000K Noir Ressorts 500mA 8,9W IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET MINI;IDTL495125NST;5404023006615;METTET MINI DTW Spot Encastré 2000K-3000K Noir Ressorts 500mA 9,5W IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET  ;IDTL495130NSC;5404023006622;METTET Spot Encastré 2700K Noir Ressorts 350-500mA 12,2-18,1W IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;METTET;IDTL495131NSC;5404023006639;METTET Spot Encastré 3000K Noir Ressorts 350-500mA 12,2-18,1W IP54;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;STRASBOURG;IDTL498100BZZ;5425025777983;Bague pour STRASBOURG Blanc;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;STRASBOURG;IDTL498101NZZ;5425025777990;Bague pour STRASBOURG Noir;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;STRASBOURG;IDTL498102AZZ;5425025778003;Bague pour STRASBOURG Argenté;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;STRASBOURG;IDTL498103JZZ;5425025778010;Bague pour STRASBOURG Doré;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;STRASBOURG;IDTL498105BZZ;5425025778898;Bague pour STRASBOURG MINI finition blanche;01.02.26;1;Encastrés intérieur;
IDTOLIGHT;STRASBOURG;IDTL498106NZZ;5425025778904;Bague pour STRASBOURG MINI finition noire;01.02.26;1;Encastrés intérieur;
